TYPE ECA
VALUE tg
CN DE
DATE 20160518





STAID SOUID STANAME VAL VALQ LAT LON HIGH
4170 123132 GRUNDAU-BREITENBORN 13.8 0 50.2672 9.18667 258 
4171 123144 GRUNOW 13 0 53.3167 13.9348 56 
4172 123156 ARNSBERG -9999 9 51.3737 8.06983 218 
4173 124332 KAISERSBACH-CRONHUTTE 10.7 0 48.9175 9.68617 489 
4174 123180 GUTERSLOH -9999 9 51.8867 8.35317 72 
4175 123192 ARNSTEIN-MUDESHEIM 13.5 0 49.969 9.9075 220 
4176 123204 HAGEN-FLEY -9999 9 51.4085 7.4875 100 
4177 123216 AROLSEN-NEUBERICH -9999 9 51.3847 9.0765 232 
4178 123228 OLSDORF 11.7 0 49.9262 6.372 305 
4180 111417 HAMBURGFUHLSBUETTEL 13.1 0 53.6343 9.98733 11 
4181 123264 HAMBURG-KIRCHWERDER -9999 9 53.4203 10.1418 2 
4182 123276 HAMBURG-NEUWIEDENTHAL 13.8 0 53.4742 9.89233 3 
4183 123288 HAMBURG-REITBROOK -9999 9 53.4695 10.1757 1 
4184 111417 HAMBURGFUHLSBUETTEL 13.1 0 53.6343 9.98733 11 
4185 123312 ARTERN 12.9 0 51.372 11.2892 164 
4186 111417 HAMBURGFUHLSBUETTEL 13.1 0 53.6343 9.98733 11 
4187 122124 HAMELN-HASTENBECK 12.5 0 52.0765 9.40483 77 
4188 123348 AACH -9999 9 47.8385 8.85017 478 
4189 124320 KAHL/MAIN 15.3 0 50.0593 8.98983 107 
4190 123372 HANKENSBUTTEL -9999 9 52.7195 10.6 108 
4191 123384 HARBURG 11.5 0 48.789 10.7045 502 
4192 123396 ASCHAFFENBURG -9999 9 49.974 9.1075 110 
4194 123420 HARZGERODE 10.6 0 51.6518 11.1358 404 
4195 129072 MITTELNKIRCHEN-HOHENFELDE 13.2 0 53.5517 9.6055 1 
4196 123444 HASSELFELDE -9999 9 51.6862 10.8585 461 
4197 123456 HAUSSTEIN -9999 9 48.8583 13.0677 648 
4198 123468 HECHINGEN 12.8 0 48.3722 8.97517 522 
4199 123480 WEDDINGSTEDT -9999 9 54.2183 9.08517 10 
4200 125868 MEHRINGEN 13.2 0 51.7228 11.5075 107 
4201 123504 HEIDELBERG -9999 9 49.4197 8.66767 110 
4202 123516 KONIGSTUHL -9999 9 49.3928 8.72217 561 
4203 121236 MANNHEIM 15.4 0 49.506 8.553 96 
4204 123540 HEIDENHEIM/BRENZ -9999 9 48.6705 10.1265 500 
4205 123552 HEIDENROD-MAPPERSHAIN -9999 9 50.1688 7.99067 496 
4206 123564 HEILBRONN -9999 9 49.1407 9.23383 167 
4207 123576 HEINSBERG-SCHLEIDEN 14.6 0 51.0388 6.10267 57 
4208 123588 ASSLARKLEIN-ALTENSTADTEN -9999 9 50.5752 8.46817 200 
4209 129600 UMMENDORF 12.7 0 52.157 11.1727 162 
4210 121668 ELPERSBUTTEL 12.5 0 54.0692 9.00683 3 
4211 123624 HERFORD -9999 9 52.1233 8.68583 77 
4212 123636 HERLESHAUSEN -9999 9 51.0035 10.1697 215 
4213 123648 HERRENBERG -9999 9 48.589 8.85317 430 
4214 129864 WALTERSHAUSEN 12.4 0 50.8918 10.543 353 
4215 123672 HERRNHUT -9999 9 51.0167 14.75 344 
4216 123684 NIEDERWORRESBACH -9999 9 49.7675 7.33517 302 
4217 123696 BADHERSFELD 13.1 0 50.8518 9.73633 272 
4218 123708 HERTEN -9999 9 51.5875 7.15333 60 
4219 123720 HERZBERG 11.9 0 51.6227 10.3697 238 
4220 123732 ATTENKAM 11.6 0 47.8735 11.3593 672 
4221 123744 HESSENTHAL -9999 9 49.9242 9.28617 287 
4222 123756 HIDDENSEE-VITTE 12.7 0 54.5727 13.1033 1 
4223 123768 HILDESHEIM -9999 9 52.1385 9.88433 117 
4224 123780 HILGENROTH 13.3 0 50.7362 7.652 295 
4225 123792 AUI.D.HALLERTAU-GUNZENHAUSEN -9999 9 48.5515 11.7078 483 
4226 123804 HINDFELD -9999 9 50.3677 10.5687 300 
4227 123816 EISFELD-WAFFENROD-HINTERROD -9999 9 50.4697 10.907 668 
4229 123840 AUE 12.1 0 50.5883 12.7093 387 
4230 123852 HOLLENSTEIN(KRAFTWERK) -9999 9 49.124 12.8595 403 
4231 123864 BERTSDORF-HORNITZ 12.4 0 50.9003 14.7418 270 
4232 123876 HOF(STADT) -9999 9 50.3212 11.9055 474 
4234 123900 HOFHEIM -9999 9 50.1352 10.5167 263 
4235 130020 WEIMAR-SCHONDORF 12.9 0 51.0182 11.3533 325 
4236 123924 HOHN 12.5 0 54.3077 9.53683 10 
4237 123936 HOHWACHT 12.4 0 54.319 10.6712 10 
4238 123948 HOLZDORF(FLUGPLATZ) 13.4 0 51.7677 13.1675 81 
4239 123960 HOLZHAUSENA.D.HAIDE -9999 9 50.2182 7.9085 397 
4240 123972 HOLZKIRCHEN 11.7 0 47.8765 11.6918 685 
4241 123984 AUGSBURG(SANKTSTEPHAN) -9999 9 48.3705 10.8908 490 
4242 123996 KR.HOLZMINDENBEVERN 13.1 0 51.8532 9.49183 110 
4243 124008 HOLZMINDEN-SILBERBORN -9999 9 51.7668 9.54067 440 
4244 124020 HOMBERG/OHM -9999 9 50.7263 9.0025 250 
4245 126588 NEUNKIRCHEN-WELLESWEILER 12.7 0 49.34 7.22483 236 
4246 127776 RHEINE-BENTLAGE 13.9 0 52.2868 7.38517 40 
4247 124056 HORLACHEN -9999 9 50.1512 11.6928 582 
4248 124068 HORNISGRINDE -9999 9 48.6085 8.2025 1119 
4249 132156 HOYERSWERDA 13.5 0 51.4503 14.2525 116 
4250 124092 HUELL -9999 9 48.6017 11.6735 438 
4251 124104 HUMMERICH 12.7 0 50.5598 7.484 328 
4252 131904 HATTSTEDT 12.2 0 54.5235 9.03967 5 
4253 124128 IDAR-OBERSTEIN 12 0 49.7 7.3265 376 
4254 124140 IHRINGEN -9999 9 48.039 7.62633 193 
4255 124152 AULENDORF-SPIEGLER -9999 9 47.969 9.6675 560 
4256 124164 INGELFINGEN -9999 9 49.292 9.65183 209 
4258 124188 INGOLSTADT(FLUGPLATZ) 11.2 0 48.7093 11.5333 364 
4259 124200 MITTBACH -9999 9 48.1592 12.0258 621 
4260 124212 ISERLOHN-WESTIG -9999 9 51.3735 7.75917 230 
4261 124224 ITZEHOE 12.5 0 53.987 9.56833 21 
4262 124236 SCHLESWIG-JAGEL 11.9 0 54.454 9.519 21 
4263 124248 AURICH -9999 9 53.458 7.46733 4 
4264 124260 JESSEN/ELSTER -9999 9 51.7913 12.956 77 
4265 124272 JEVER -9999 9 53.5258 7.875 7 
4266 129072 MITTELNKIRCHEN-HOHENFELDE 13.2 0 53.5517 9.6055 1 
4267 124296 JULICH(FORSCH.-ANLAGE) -9999 9 50.907 6.406 91 
4268 125028 LANGENLIPSDORF 13.1 0 51.9177 13.0867 91 
4269 124320 KAHL/MAIN 15.3 0 50.0593 8.98983 107 
4270 124332 KAISERSBACH-CRONHUTTE 10.7 0 48.9175 9.68617 489 
4271 123384 HARBURG 11.5 0 48.789 10.7045 502 
4272 124608 KLEVE 13.3 0 51.7575 6.09067 46 
4273 124368 KALL-SISTIG 11.1 0 50.5017 6.52267 505 
4274 124380 HEILIGENSTADT-KALTENEBER -9999 9 51.318 10.1353 447 
