TYPE ECA
VALUE rr
CN DE
DATE 20160518





STAID SOUID STANAME VAL VALQ LAT LON HIGH
4145 122830 GIESSEN(LAHNTAL) -9999 9 50.5885 8.6535 158 
4146 122842 GILSERBERG-MOISCHEID 0 0 50.9598 9.05017 340 
4147 122854 GLUCKSBURG-MEIERWIK 0 0 54.8427 9.50483 27 
4148 122482 FREIBURG/ELBE 0 0 53.8242 9.243 2 
4149 122878 ANKLAM 0 0 53.8392 13.6847 9 
4150 122890 GOSSWEINSTEIN -9999 9 49.7667 11.3045 443 
4151 122902 GOTTINGEN 0 0 51.501 9.95167 167 
4152 122914 GOLDBERG 0 0 53.6042 12.1025 58 
4153 122926 ANNABERG-BUCHHOLZ -9999 9 50.5712 13.004 630 
4154 122938 GRAFENBERG-KASBERG 1.9 0 49.659 11.2218 506 
4155 122950 ANNATURM -9999 9 52.25 9.504 395 
4156 122962 GRAINET-REHBERG 0 0 48.7875 13.625 628 
4157 122974 GRAMBEK 0 0 53.5713 10.675 27 
4158 122986 GREBENHAIN-HERCHENHAIN -9999 9 50.4747 9.25783 608 
4159 127030 BADBERGZABERN 2.1 0 49.1048 7.9915 252 
4160 123010 GREIFSWALDEROIE 0 1 54.2407 13.9075 12 
4161 123022 ANSBACH -9999 9 49.2918 10.5725 413 
4162 123034 GREIZ-DOLAU -9999 9 50.6222 12.1742 270 
4163 123046 ANSBACH-HENNENBACH -9999 9 49.3167 10.5763 418 
4164 123058 GROSSLUSEWITZ 0 0 54.0705 12.322 34 
4166 123082 GROSSERFALKENSTEIN -9999 9 49.0848 13.2757 1307 
4167 123094 FELDKIRCHEN-WESTERHAM-LENZMUHLE -9999 9 47.9383 11.9008 517 
4169 130906 SCHONHAGEN(OSTSEEBAD) 0 0 54.6378 10.0213 2 
4170 123130 GRUNDAU-BREITENBORN 1.2 0 50.2672 9.18667 258 
4171 123142 GRUNOW 0 0 53.3167 13.9348 56 
4172 123154 ARNSBERG -9999 9 51.3737 8.06983 218 
4173 124330 KAISERSBACH-CRONHUTTE 1.7 0 48.9175 9.68617 489 
4174 123178 GUTERSLOH -9999 9 51.8867 8.35317 72 
4175 123190 ARNSTEIN-MUDESHEIM 0.4 0 49.969 9.9075 220 
4176 123202 HAGEN-FLEY -9999 9 51.4085 7.4875 100 
4177 123214 AROLSEN-NEUBERICH -9999 9 51.3847 9.0765 232 
4178 123226 OLSDORF 3.6 0 49.9262 6.372 305 
